Nom,Département,Code commune,Position géographique,UIC,Jour de la semaine,Horaire en jour normal,Horaire en jour férié,Type_ville,Latitude,Longitude
Aix-en-Provence,Bouches-du-Rhône,13001,"43.522912, 5.445345",87751404,Lundi,08:00-18:00,,Grande ville,43.522912,5.445345
Aix-en-Provence,Bouches-du-Rhône,13001,"43.522912, 5.445345",87751404,Mardi,08:00-18:00,,Grande ville,43.522912,5.445345
Aix-en-Provence,Bouches-du-Rhône,13001,"43.522912, 5.445345",87751404,Mercredi,08:00-18:00,,Grande ville,43.522912,5.445345
Aix-en-Provence,Bouches-du-Rhône,13001,"43.522912, 5.445345",87751404,Jeudi,08:00-18:00,,Grande ville,43.522912,5.445345
Aix-en-Provence,Bouches-du-Rhône,13001,"43.522912, 5.445345",87751404,Vendredi,08:00-18:00,,Grande ville,43.522912,5.445345
Aix-en-Provence,Bouches-du-Rhône,13001,"43.522912, 5.445345",87751404,Samedi,08:00-18:00,,Grande ville,43.522912,5.445345
Aix-en-Provence TGV,Bouches-du-Rhône,13001,"43.455237, 5.317534",87319012,Lundi,05:30-00:45,05:30-01:15,Grande ville,43.455237,5.317534
Aix-en-Provence TGV,Bouches-du-Rhône,13001,"43.455237, 5.317534",87319012,Mardi,05:30-00:45,05:30-01:15,Grande ville,43.455237,5.317534
Aix-en-Provence TGV,Bouches-du-Rhône,13001,"43.455237, 5.317534",87319012,Mercredi,05:30-00:45,05:30-01:15,Grande ville,43.455237,5.317534
Aix-en-Provence TGV,Bouches-du-Rhône,13001,"43.455237, 5.317534",87319012,Jeudi,05:30-00:45,05:30-01:15,Grande ville,43.455237,5.317534
Aix-en-Provence TGV,Bouches-du-Rhône,13001,"43.455237, 5.317534",87319012,Vendredi,05:30-01:15,05:30-01:15,Grande ville,43.455237,5.317534
Aix-en-Provence TGV,Bouches-du-Rhône,13001,"43.455237, 5.317534",87319012,Samedi,05:30-00:45,05:30-01:15,Grande ville,43.455237,5.317534
Aix-en-Provence TGV,Bouches-du-Rhône,13001,"43.455237, 5.317534",87319012,Dimanche,05:30-01:15,05:30-01:15,Grande ville,43.455237,5.317534
Antibes,Alpes-Maritimes,6004,"43.585784, 7.119498",87757674,Lundi,05:10-23:30,05:10-00:30,Petite ville,43.585784,7.119498
Antibes,Alpes-Maritimes,6004,"43.585784, 7.119498",87757674,Mardi,05:10-23:30,05:10-00:30,Petite ville,43.585784,7.119498
Antibes,Alpes-Maritimes,6004,"43.585784, 7.119498",87757674,Mercredi,05:10-23:30,05:10-00:30,Petite ville,43.585784,7.119498
Antibes,Alpes-Maritimes,6004,"43.585784, 7.119498",87757674,Jeudi,05:10-23:30,05:10-00:30,Petite ville,43.585784,7.119498
