Nom,Département,Code commune,Position géographique,UIC,Jour de la semaine,Horaire en jour normal,Horaire en jour férié,Latitude,Longitude
Antibes,Alpes-Maritimes,6004,"43.585784, 7.119498",87757674,Lundi,05:10-23:30,05:10-00:30,43.585784,7.119498
Antibes,Alpes-Maritimes,6004,"43.585784, 7.119498",87757674,Mardi,05:10-23:30,05:10-00:30,43.585784,7.119498
Antibes,Alpes-Maritimes,6004,"43.585784, 7.119498",87757674,Mercredi,05:10-23:30,05:10-00:30,43.585784,7.119498
Antibes,Alpes-Maritimes,6004,"43.585784, 7.119498",87757674,Jeudi,05:10-23:30,05:10-00:30,43.585784,7.119498
Antibes,Alpes-Maritimes,6004,"43.585784, 7.119498",87757674,Vendredi,05:10-23:30,05:10-00:30,43.585784,7.119498
Antibes,Alpes-Maritimes,6004,"43.585784, 7.119498",87757674,Samedi,05:40-00:30,05:10-00:30,43.585784,7.119498
Antibes,Alpes-Maritimes,6004,"43.585784, 7.119498",87757674,Dimanche,05:10-00:30,05:10-00:30,43.585784,7.119498
Arles,Bouches-du-Rhône,13004,"43.684853, 4.63203",87753657,Lundi,05:45-22:30,06:45-22:30,43.684853,4.63203
Arles,Bouches-du-Rhône,13004,"43.684853, 4.63203",87753657,Mardi,05:45-22:30,06:45-22:30,43.684853,4.63203
Arles,Bouches-du-Rhône,13004,"43.684853, 4.63203",87753657,Mercredi,05:45-22:30,06:45-22:30,43.684853,4.63203
Arles,Bouches-du-Rhône,13004,"43.684853, 4.63203",87753657,Jeudi,05:45-22:30,06:45-22:30,43.684853,4.63203
Arles,Bouches-du-Rhône,13004,"43.684853, 4.63203",87753657,Vendredi,05:45-22:30,06:45-22:30,43.684853,4.63203
Arles,Bouches-du-Rhône,13004,"43.684853, 4.63203",87753657,Samedi,05:45-22:30,06:45-22:30,43.684853,4.63203
Arles,Bouches-du-Rhône,13004,"43.684853, 4.63203",87753657,Dimanche,06:45-22:30,06:45-22:30,43.684853,4.63203
Aubagne,Bouches-du-Rhône,13005,"43.296045, 5.56658",87751750,Lundi,05:25-22:30,05:25-23:15,43.296045,5.56658
Aubagne,Bouches-du-Rhône,13005,"43.296045, 5.56658",87751750,Mardi,05:25-22:30,05:25-23:15,43.296045,5.56658
Aubagne,Bouches-du-Rhône,13005,"43.296045, 5.56658",87751750,Mercredi,05:25-22:30,05:25-23:15,43.296045,5.56658
Aubagne,Bouches-du-Rhône,13005,"43.296045, 5.56658",87751750,Jeudi,05:25-22:30,05:25-23:15,43.296045,5.56658
Aubagne,Bouches-du-Rhône,13005,"43.296045, 5.56658",87751750,Vendredi,05:25-22:55,05:25-23:15,43.296045,5.56658
Aubagne,Bouches-du-Rhône,13005,"43.296045, 5.56658",87751750,Samedi,05:25-23:15,05:25-23:15,43.296045,5.56658
Aubagne,Bouches-du-Rhône,13005,"43.296045, 5.56658",87751750,Dimanche,05:25-23:15,05:25-23:15,43.296045,5.56658
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Lundi,05:00-22:35,05:30-22:35,43.9419,4.805281
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Mardi,05:00-22:35,05:30-22:35,43.9419,4.805281
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Mercredi,05:00-22:35,05:30-22:35,43.9419,4.805281
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Jeudi,05:00-22:35,05:30-22:35,43.9419,4.805281
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Vendredi,05:00-22:35,05:30-22:35,43.9419,4.805281
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Samedi,05:00-22:35,05:30-22:35,43.9419,4.805281
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Dimanche,05:30-22:35,05:30-22:35,43.9419,4.805281
Avignon TGV,Vaucluse,84007,"43.921586, 4.786079",87318964,Lundi,05:00-00:00,05:45-00:00,43.921586,4.786079
